patternA,patternB,dx,dy,result,final_cells,peak_cells
block,blinker,-8,-8,oscillator_p2,7,7
block,blinker,-8,-7,oscillator_p2,7,7
block,blinker,-8,-6,oscillator_p2,7,7
block,blinker,-8,-5,oscillator_p2,7,7
block,blinker,-8,-4,oscillator_p2,7,7
block,blinker,-8,-3,oscillator_p2,7,7
block,blinker,-8,-2,oscillator_p2,7,7
block,blinker,-8,-1,oscillator_p2,7,7
block,blinker,-8,0,oscillator_p2,7,7
block,blinker,-8,1,oscillator_p2,7,7
block,blinker,-8,2,oscillator_p2,7,7
block,blinker,-8,3,oscillator_p2,7,7
block,blinker,-8,4,oscillator_p2,7,7
block,blinker,-8,5,oscillator_p2,7,7
block,blinker,-8,6,oscillator_p2,7,7
block,blinker,-8,7,oscillator_p2,7,7
block,blinker,-8,8,oscillator_p2,7,7
block,blinker,-7,-8,oscillator_p2,7,7
block,blinker,-7,-7,oscillator_p2,7,7
block,blinker,-7,-6,oscillator_p2,7,7
block,blinker,-7,-5,oscillator_p2,7,7
block,blinker,-7,-4,oscillator_p2,7,7
block,blinker,-7,-3,oscillator_p2,7,7
block,blinker,-7,-2,oscillator_p2,7,7
block,blinker,-7,-1,oscillator_p2,7,7
block,blinker,-7,0,oscillator_p2,7,7
block,blinker,-7,1,oscillator_p2,7,7
block,blinker,-7,2,oscillator_p2,7,7
block,blinker,-7,3,oscillator_p2,7,7
block,blinker,-7,4,oscillator_p2,7,7
block,blinker,-7,5,oscillator_p2,7,7
block,blinker,-7,6,oscillator_p2,7,7
block,blinker,-7,7,oscillator_p2,7,7
block,blinker,-7,8,oscillator_p2,7,7
block,blinker,-6,-8,oscillator_p2,7,7
block,blinker,-6,-7,oscillator_p2,7,7
block,blinker,-6,-6,oscillator_p2,7,7
block,blinker,-6,-5,oscillator_p2,7,7
block,blinker,-6,-4,oscillator_p2,7,7
block,blinker,-6,-3,oscillator_p2,7,7
block,blinker,-6,-2,oscillator_p2,7,7
block,blinker,-6,-1,oscillator_p2,7,7
block,blinker,-6,0,oscillator_p2,7,7
block,blinker,-6,1,oscillator_p2,7,7
block,blinker,-6,2,oscillator_p2,7,7
block,blinker,-6,3,oscillator_p2,7,7
block,blinker,-6,4,oscillator_p2,7,7
block,blinker,-6,5,oscillator_p2,7,7
block,blinker,-6,6,oscillator_p2,7,7
block,blinker,-6,7,oscillator_p2,7,7
block,blinker,-6,8,oscillator_p2,7,7
block,blinker,-5,-8,oscillator_p2,7,7
block,blinker,-5,-7,oscillator_p2,7,7
block,blinker,-5,-6,oscillator_p2,7,7
block,blinker,-5,-5,oscillator_p2,7,7
block,blinker,-5,-4,oscillator_p2,7,7
block,blinker,-5,-3,oscillator_p2,7,7
block,blinker,-5,-2,oscillator_p2,7,7
block,blinker,-5,-1,oscillator_p2,7,7
block,blinker,-5,0,oscillator_p2,7,7
block,blinker,-5,1,oscillator_p2,7,7
block,blinker,-5,2,oscillator_p2,7,7
block,blinker,-5,3,oscillator_p2,7,7
block,blinker,-5,4,oscillator_p2,7,7
block,blinker,-5,5,oscillator_p2,7,7
block,blinker,-5,6,oscillator_p2,7,7
block,blinker,-5,7,oscillator_p2,7,7
block,blinker,-5,8,oscillator_p2,7,7
block,blinker,-4,-8,oscillator_p2,7,7
block,blinker,-4,-7,oscillator_p2,7,7
block,blinker,-4,-6,oscillator_p2,7,7
block,blinker,-4,-5,oscillator_p2,7,7
block,blinker,-4,-4,oscillator_p2,7,7
block,blinker,-4,-3,oscillator_p2,7,7
block,blinker,-4,-2,oscillator_p2,7,7
block,blinker,-4,-1,oscillator_p2,7,7
block,blinker,-4,0,oscillator_p2,7,7
block,blinker,-4,1,oscillator_p2,7,7
block,blinker,-4,2,oscillator_p2,7,7
block,blinker,-4,3,oscillator_p2,7,7
block,blinker,-4,4,oscillator_p2,7,7
block,blinker,-4,5,oscillator_p2,7,7
block,blinker,-4,6,oscillator_p2,7,7
block,blinker,-4,7,oscillator_p2,7,7
block,blinker,-4,8,oscillator_p2,7,7
block,blinker,-3,-8,oscillator_p2,7,7
block,blinker,-3,-7,oscillator_p2,7,7
block,blinker,-3,-6,oscillator_p2,7,7
block,blinker,-3,-5,oscillator_p2,7,7
block,blinker,-3,-4,oscillator_p2,7,7
block,blinker,-3,-3,oscillator_p2,7,7
block,blinker,-3,-2,annihilation,0,10
block,blinker,-3,-1,stable,24,56
block,blinker,-3,0,stable,24,56
block,blinker,-3,1,annihilation,0,10
block,blinker,-3,2,oscillator_p2,7,7
block,blinker,-3,3,oscillator_p2,7,7
block,blinker,-3,4,oscillator_p2,7,7
block,blinker,-3,5,oscillator_p2,7,7
block,blinker,-3,6,oscillator_p2,7,7
block,blinker,-3,7,oscillator_p2,7,7
block,blinker,-3,8,oscillator_p2,7,7
block,blinker,-2,-8,oscillator_p2,7,7
block,blinker,-2,-7,oscillator_p2,7,7
block,blinker,-2,-6,oscillator_p2,7,7
block,blinker,-2,-5,oscillator_p2,7,7
block,blinker,-2,-4,oscillator_p2,7,7
block,blinker,-2,-3,annihilation,0,9
block,blinker,-2,-2,stable,4,7
block,blinker,-2,-1,stable,16,86
block,blinker,-2,0,stable,16,86
block,blinker,-2,1,stable,4,7
block,blinker,-2,2,annihilation,0,9
block,blinker,-2,3,oscillator_p2,7,7
block,blinker,-2,4,oscillator_p2,7,7
block,blinker,-2,5,oscillator_p2,7,7
block,blinker,-2,6,oscillator_p2,7,7
block,blinker,-2,7,oscillator_p2,7,7
block,blinker,-2,8,oscillator_p2,7,7
block,blinker,-1,-8,oscillator_p2,7,7
block,blinker,-1,-7,oscillator_p2,7,7
block,blinker,-1,-6,oscillator_p2,7,7
block,blinker,-1,-5,oscillator_p2,7,7
block,blinker,-1,-4,annihilation,0,10
block,blinker,-1,-3,chaotic,96,129
block,blinker,-1,-2,oscillator_p2,12,20
block,blinker,-1,-1,annihilation,0,7
block,blinker,-1,0,annihilation,0,7
block,blinker,-1,1,oscillator_p2,12,20
block,blinker,-1,2,chaotic,96,129
block,blinker,-1,3,annihilation,0,10
block,blinker,-1,4,oscillator_p2,7,7
block,blinker,-1,5,oscillator_p2,7,7
block,blinker,-1,6,oscillator_p2,7,7
block,blinker,-1,7,oscillator_p2,7,7
block,blinker,-1,8,oscillator_p2,7,7
block,blinker,0,-8,oscillator_p2,7,7
block,blinker,0,-7,oscillator_p2,7,7
block,blinker,0,-6,oscillator_p2,7,7
block,blinker,0,-5,oscillator_p2,7,7
block,blinker,0,-4,stable,24,56
block,blinker,0,-3,stable,24,56
block,blinker,0,-2,stable,5,6
block,blinker,0,-1,annihilation,0,5
block,blinker,0,1,stable,5,6
block,blinker,0,2,stable,24,56
block,blinker,0,3,stable,24,56
block,blinker,0,4,oscillator_p2,7,7
block,blinker,0,5,oscillator_p2,7,7
block,blinker,0,6,oscillator_p2,7,7
block,blinker,0,7,oscillator_p2,7,7
block,blinker,0,8,oscillator_p2,7,7
block,blinker,1,-8,oscillator_p2,7,7
block,blinker,1,-7,oscillator_p2,7,7
block,blinker,1,-6,oscillator_p2,7,7
block,blinker,1,-5,oscillator_p2,7,7
block,blinker,1,-4,stable,24,56
block,blinker,1,-3,stable,24,56
block,blinker,1,-2,stable,5,6
block,blinker,1,-1,annihilation,0,5
block,blinker,1,0,annihilation,0,5
block,blinker,1,1,stable,5,6
