x y sigma_y
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 1.328125000000000095e-04 2.763240497473030575e-04
4.000000000000000083e-02 2.820312499999999903e-03 3.835125932478456422e-03
5.999999999999999778e-02 9.117187500000000291e-03 5.649312691533258692e-03
8.000000000000000167e-02 2.026562499999999892e-02 8.436067586744725941e-03
1.000000000000000056e-01 2.624999999999999903e-02 5.420096069835848157e-03
2.000000000000000111e-01 2.908593749999999895e-02 4.797479349144584231e-03
3.000000000000000444e-01 2.865625000000000117e-02 3.185891138088368588e-03
4.000000000000000222e-01 2.914062500000001027e-02 5.376112711860215471e-03
5.000000000000000000e-01 2.903125000000000150e-02 4.942689124479708769e-03
5.999999999999999778e-01 2.912500000000000158e-02 4.476610220077240944e-03
6.999999999999999556e-01 2.607812500000000061e-02 5.351397123357133460e-03
7.199999999999999734e-01 2.423437500000000938e-02 4.486280083139593776e-03
7.399999999999999911e-01 2.033593750000000158e-02 8.902929068351255609e-03
7.600000000000000089e-01 9.093749999999999403e-03 6.093068872189941892e-03
7.800000000000000266e-01 6.375000000000001325e-03 7.776416671578240472e-03
8.000000000000000444e-01 5.023437500000000125e-03 7.301871114813226343e-03
8.200000000000000622e-01 1.562500000000000304e-03 1.522134859744693914e-03
8.400000000000000799e-01 6.406250000000001353e-04 1.018505530483266534e-03
8.600000000000000977e-01 2.187500000000000859e-04 4.619295468467026606e-04
8.800000000000001155e-01 4.687500000000002130e-05 1.406250000000000165e-04
9.000000000000001332e-01 0.000000000000000000e+00 0.000000000000000000e+00
